title_cleaned,content_cleaned,박세온 정당,박세온 감정,박상춘 정당,박상춘 감정,최수진 정당,최수진 감정
여론조사 단일 후보 적합도 김문수 26 한덕수 27 단일화해야 42,김문수 국민의힘 대선 후보와 한덕수 전 총리 사이에 단일화에 대해서도 알아봤습니다 누가 더 단일 후보로 적합하다고 생각하는지 물어봤더니 김문수 26 한덕수 27 로 오차 범위 안쪽이었습니다 단일화해야 한다는 응답은 42 로 하지 말아야 한다는 응답 32 보다 더 높게 나타났습니다 이어서 박하정 기자입니다 이번 대선에서 거론되는 김문수 국민의힘 대선 후보와 한덕수 전 총리 간의 단일화에 대해 어떻게 생각하는지 물었습니다 단일화를 해야 한다 42 하지 말아야 한다 32 였습니다 국민의힘 대선 경선의 여론조사 방식이었던 국민의힘 지지층과 무당층 467명의 응답만 따로 떼어 살펴보면 단일화해야 한단 의견이 73 로 하지 말아야 한단 의견 11 를 크게 앞섰습니다 두 후보 간 단일화를 한다면 누가 더 단일 후보로 적합하다고 생각하는지도 물었습니다 김문수 26 한덕수 27 로 오차 범위 안에 있었습니다 적합하다고 생각하는 후보가 없다 거나 모르겠다 또는 무응답은 47 였습니다 국민의힘 지지층과 무당층의 의견만 따로 떼어 살펴보니 김문수 29 한덕수 47 로 한 전 총리가 김 후보를 오차 범위 밖에서 앞섰고 단일화해야 한다고 한 422명의 응답에서도 35 는 김문수 후보가 53 는 한덕수 전 총리가 단일 후보로 더 적합하다고 봤습니다 한 전 총리가 대통령 권한대행을 사퇴하고 이번 대선에 출마한 것에 대해선 적절하다 34 적절하지 않다 61 모르겠다 또는 무응답 6 였습니다 중도층에서는 30 가 적절하다 고 65 가 적절하지 않다 고 답했습니다 영상편집 오영택 디자인 장예은 방민주 SBS 대선 여론조사 질문지 보기 https bit ly 4d77bAK SBS 대선 여론조사 통계표 보기 https bit ly 4jIHzMV 의뢰 기관 SBS 수행 기관 입소스 주식회사 IPSOS 조사 지역 전국 조사 일시 2025년 5월 5일 6일 조사 대상 전국에 거주하는 유권자 만 18세 이상 남녀 조사 방법 무선 전화면접조사 표본 크기 1 003명 표본 오차 95 신뢰 수준에서 3 1 p 표집 방법 성 연령 지역 할당 후 무선 가상번호 추출 피조사자 선정 방법 성 연령 지역 비례에 따른 할당 추출 응답률 18 1 가중치 부여 방식 성별 연령별 지역별 가중값 부여 셀 가중 2025년 4월 말 행정안전부 주민등록 인구 기준 자세한 내용은 중앙선거여론조사심의위원회 또는 SBS 홈페이지에서 보실 수 있습니다,국민의힘,중립,국민의힘,중립,국민의힘,중립
박영기 성남의 현실과 대한민국 양극화 해결하겠다,7일 성남 수정 박 예비후보 북콘서트 지금의 민주당 윤석열 정권과 맞서지 않아 성남 수정 박영기 예비후보의 박영기의 진심 기본사회 대한민국 30년의 미래 비전 북콘서트가 열렸다 박영기 캠프 성남의 현실과 대한민국의 양극화 문제를 극복하기 위한 기본사회 구현의 필요성을 강조했다 경기 성남 수정 박영기 예비후보의 박영기의 진심 기본사회 대한민국 30년의 미래 비전 북콘서트를 통해 이같이 밝혔다 박 예비후보는 이번 행사를 통해 정치 철학과 미래 비전을 더욱 널리 알리고 공유하며 시민들에게 더욱 가까이 다가가려 한다 고 말했다 7일 개최된 이날 행사는 박영기TV 안진걸TV 인싸이트TV 유튜브 채널에서 생중계되며 500여 명의 각계각층 시민의 참여 속에서 진행됐다 춤여울무용단 임금자 대표의 태평가 부채산조 전 한국공인노무사 이근덕 회장의 민중가요 식전공연 부터 개그맨 노정렬 진행으로 1부에서는 박영기 예비후보의 인간적인 면모를 담은 영상물들이 상영됐다 이재명 더불어민주당 대표의 책 추천사로 시작된 축사 뒤 변희재 미디어워치 대표의 검찰권력을 말한다 는 주제발표가 이어졌다 변 대표는 지금의 더불어민주당 의석수에 비해 윤석열 정권과 검찰세력과 맞서 싸우질 않는다 고 평가했다 그러면서 박영기와 같이 싸울 줄 아는 사람이 국회에 입성하여 검찰정권과 싸워야 한다 고 말했다 이어 박 예비후보의 과거부터 현재까지의 활동을 담은 영상 수정구 시민들의 인터뷰 영상 등이 상영됐다 행사의 2부 토크콘서트에서는 박영기 예비후보와 함께 최강욱 박시영 안진걸이 게스트로 참석했다 개그맨 노정렬 씨의 사회로 검찰개혁 기본사회 등의 주제로 토크가 진행됐다 최강욱 대표는 박영기의 진심이 시민들에게 다가가고 있는 것 같다 며 시민들이 박영기의 진심이 전달되는지 확인해 달라 고 당부했다 한편 이번 북콘서트는 유튜브 박영기TV 를 통해 다시 볼 수 있다,민주당,긍정,민주당,긍정,민주당,중립
대법 파기환송 두 차례 무시한 군법회의 46년 만에 누명 벗은 60대,이원석 검찰총장이 지난 5일 서울 서초구 대검찰청으로 출근하며 취재진 질문에 답하고 있다 연합뉴스 대간첩작전 수행 중 적을 보고도 공격하지 않았다는 누명을 쓴 60대 남성이 46년 만에 대법원에서 무죄가 확정됐다 7일 대검찰청에 따르면 1978년 10월 육군 7사단 소속 일병이었던 A씨 현재 67세 는 휴가병 3명을 사살한 뒤 북한으로 탈출을 시도하던 무장간첩 3명에 대한 포획 작전 중 적을 보고도 공격을 하지 않았다는 혐의 군형법상 공격기피죄 등으로 구속 기소됐다 보통군법회의 1심 와 고등군법회의 2심 에선 각각 무기징역과 징역 5년이 선고됐으나 1979년 대법원은 A씨가 소총 사격으로 대응하는 등 고의로 명령을 위반해 적을 공격하지 않았던 것으로 보기는 어렵다며 무죄 취지로 파기환송했다 하지만 환송심인 고등군법회의는 새로운 증거나 근거도 없이 다시 징역 3년의 유죄를 선고했고 1980년 대법원이 재차 무죄 취지로 파기환송했는데도 또다시 유죄 판결을 유지했다 이 과정에서 1979년 비상계엄이 발동되면서 군인의 상고권이 제한돼 A씨는 대법원에 상고하지 못한 채로 판결이 확정됐다 이원석 검찰총장은 2022년 11월 대법원에 비상상고를 제기했다 하급심 법원 판결은 대법원의 파기환송 판결의 재량에 속하기 때문에 하급심인 고등군법회의는 판결의 기초가 된 증거관계에 변동이 없는 한 대법원의 파기 이유와 달리 판단할 수 없는데도 이에 반해 유죄 판결을 선고한 것이어서 위법하다는 게 이유다 또 1979년 비상계엄이 위법하다는 점이 이미 법원 판결로 확인된 만큼 당시 A씨의 재판청구권이 침해됐다는 것도 이유로 들었다 비상상고란 확정된 판결이나 그 소송절차에 객관적으로 명백한 법령 위반이 있는 것으로 판명된 경우 이를 시정하기 위해 검찰총장이 대법원에 제기하는 비상구제절차다 대법원 1부 주심 김선수 대법관 는 지난달 27일 이 총장의 비상상고를 받아들여 고등군법회의의 환송심 판결에 대법원 상급심 판결의 기속력에 관한 법리를 위반한 잘못이 있음을 이유로 고등군법회의 판결을 파기하고 무죄를 선고해 판결이 확정됐다 대검은 구속 기소됐던 국민에 대한 무죄 판결이 확정됐으므로 향후 형사보상 관련 절차 등에서 적극 조치하겠다 고 밝혔다,그외,중립,그외,중립,그외,중립
韓美 대통령 안보참모 만난다 방미 안보실장 백악관과 본격 소통 시작,신원식 실장 왈츠 보좌관과 회동 계획 트럼프 집권 2기 세 번째 장관급 접촉 대북정책 접촉 모두 한미 긴밀 협의 신원식 대통령실 국가안보실장이 5일 미국 워싱턴 인근 덜레스국제공항에서 취재진과 만나고 있다 워싱턴 뉴시스 미국 도널드 트럼프 2기 행정부 출범 뒤 한국과 미국의 최고위급 대통령 안보 참모가 처음 만난다 신원식 대통령실 국가안보실장은 5일 현지시간 미국 워싱턴 인근 덜레스국제공항을 통해 미국에 입국한 뒤 취재진과 만나 마이크 왈츠 보좌관 백악관 국가안보보좌관 과 고위직 몇 분을 보기로 했다 고 밝혔다 이어 한반도 및 동북아 글로벌 안보 이슈를 논의하고 경제 안보와 관련해 특히 조선 협력을 비롯해 다양한 논의를 하려 한다 고 의제를 소개했다 신 실장은 예전에 청와대를 블루하우스 라고 할 때 하우스 투 하우스 house to house 의 협력 소통이 있었다 조금 늦기는 했지만 백악관과 우리 대통령실 사이에 본격적인 소통을 시작했다는 데 큰 의미가 있다 고 강조했다 신 실장은 트럼프 2기 행정부 들어 미국 측 외교 상대방 카운터파트 과 만나는 세 번째 장관급 인사다 앞서 조태열 외교부 장관이 지난달 독일 뮌헨안보회의에서 마코 루비오 국무장관과 회담했고 이어 안덕근 산업통상자원부 장관이 최근 미국을 찾아 하워드 러트닉 상무장관과 회동했다 장관급 회동은 이어질 것으로 보인다 신 실장은 양국 국가안전보장회의 NSC 차원 논의를 하려면 사람과 조직이 있어야 하는데 그런 조직들도 미국이 갖춰가고 있기 때문에 점차 양국 협력이 활성화되리라 본다 고 말했다 한미 간 관세 방위비 협상에 대해 신 실장은 낙관적이다 그는 전날 트럼프 대통령이 미국 연방의회 상 하원 합동 회의 연설에서 한국이 미국보다 관세가 4배 높다 고 언급한 것에 대해 구체적으로 트럼프 대통령 말씀에 대해 말씀드리는 게 적절치 않다 면서도 우리 통상관계 부처가 미국의 상무부나 무역대표부 USTR 등과 긴밀히 협의가 되고 있어서 좋은 결말이 있을 것으로 생각한다 고 말했다 트럼프 대통령이 한국 관세와 함께 미국의 대 對 한국 군사 지원 을 언급한 게 주한미군 방위비 분담금 주둔 비용 중 한국 부담금 을 올리려는 의도일 수 있다는 일부 해석에 대해서는 그런 얘기는 아직 논의된 바 없다 며 그 문제도 오랜 동맹 정신에 입각해 원만하게 잘 풀어 나갈 것 이라고 밝혔다 북미 접촉 때 한국이 배제되지는 않으리라는 게 신 실장 판단이다 그는 뮌헨에서 외교부 장관들이 논의한 것도 그렇고 실무 경로 를 통해 확인한 것은 대북 정책 또는 대북 접촉도 한미가 충분하고 긴밀한 공조 위에서 한다는 것이 트럼프 2기 정부의 변함없는 얘기 라며 대북 정책이나 접촉 등 모든 것을 망라해 한미가 긴밀하게 협의할 것 이라고 말했다,그외,긍정,국민의힘,긍정,그외,긍정
징계 사유 없다 공수처도 수사 중 이성윤 해임 처분 두고 공방,이성윤 더불어민주당 의원이 지난 7월10일 국회 의원회관에서 열린 수사 기소 완전 분리를 위한 더불어민주당 검찰개혁TF 공청회에서 발언하고 있다 문재원 기자 이성윤 더불어민주당 의원이 검사 시절 법무부로부터 받은 해임 처분에 대해 징계 사유가 없다 며 처분을 취소해야 한다고 주장했다 반면 법무부는 이 의원의 위법성이 수사 등을 통해 드러나고 있다고 반박했다 서울행정법원 행정7부 재판장 이주영 는 26일 이 의원이 법무부 장관을 상대로 제기한 해임처분 취소소송 사건의 변론기일을 열었다 이 의원은 법무연수원 연구위원 재직 시절인 지난 2월 법무부로부터 해임 처분을 받았다 법무부는 크게 두 가지 징계 사유를 들어 이 의원을 해임했다 먼저 2020년 서울중앙지검장 시절 박은정 조국혁신당 의원 당시 법무부 감찰담당관 의 부탁으로 채널A 검언유착 사건 수사에서 확보된 한동훈 국민의힘 대표 당시 검사장 의 통신사실확인서를 법무부에 제출하도록 수사팀에 지시한 점이 해임 사유로 꼽혔다 이 지시에 따라 한 대표의 통신사실확인서 전체가 법무부 감찰담당관실에 전달됐다 법무부는 이 의원이 법무부 감찰규정 등을 위반했다고 봤다 또 이 의원은 지난해 9월 조국 조국혁신당 의원의 저서 출판기념회에 참석해 윤석열 사단은 전두환의 하나회 라고 말했다 지난해 1월에는 라디오방송에 출연해 윤석열 총장은 검찰 역사상 최악의 정치 검사다 윤석열 사단 검사들 때문에 검찰이 큰 피해를 입을 거라고 생각한다 고 발언하기도 했다 법무부는 검사로서 부정적으로 평가받기에 충분한 행위 라고 판단해 징계를 내렸다 이날 변론에서 이 의원 측은 법무부가 이 의원을 징계 처분할 사유가 없다고 주장했다 이 의원 측은 채널A 수사팀으로부터 한 대표의 통신내역을 받은 것은 비위사실을 감찰하려는 목적이었으므로 직권남용이 아니라고 밝혔다 당초 검찰은 같은 취지로 이 의원을 불기소하기도 했다 이 의원 측은 문제가 된 이 의원의 발언에 대해선 표현의 자유를 과도하게 제한하는 처분 이라고 했다 반면 법무부는 현재 고위공직자범죄수사처 공수처 에서 이 의원 혐의에 대해 다시 수사를 진행 중이라는 점을 들면서 부적절함과 위법성이 어느 정도 드러났다 고 반박했다 법무부 측 대리인은 지난해 초 수사 기록이 공수처에 넘어간 것은 확인이 되는데 어느 정도 진행됐는지는 확인이 어렵다 며 재판에서 이 부분 심리가 필요하다면 공수처 수사 기록을 받아보는 것이 필요하다 고 재판부에 요청했다 이 의원 측은 법무부 징계 과정에 절차상 하자가 있다는 주장도 펼쳤다 검사징계법에 따르면 징계위원회는 징계청구서를 징계 혐의자에게 송달해야 하는데 이런 절차가 생략됐다는 것이다 전종민 변호사 법무법인 KNC 는 재판 이후 기자와 만나 징계 절차에 대해 소통의 착오가 있었을 수 있고 법무부와 이 의원의 생각의 차이가 있을 수 있기 때문에 사실관계를 더 확인할 것 이라고 말했다 한편 윤석열 대통령이 검찰총장일 때 그에 대한 감찰을 주도했던 박 의원과 채널A 수사 관련 허위 사실을 전달한 혐의를 받은 신성식 전 법무연수원 연구위원도 법무부로부터 해임 처분을 받아 불복 절차를 밟고 있다 재판부는 양측에 징계 사유와 공수처 조사 기록 등에 대한 추가 자료를 제출하라고 요청했다 다음 재판은 오는 12월12일에 진행될 예정이다 윤석열 사단은 하나회 발언 이성윤 징계위 종료 기피신청 기각 법무부가 이성윤 법무연수원 연구위원이 제기한 징계위원 기피신청을 기각했다 이 연구위원은 징계위원 다수가 윤석열 사단 검사들이며 이들이 윤 대통령을 비판한 본인에 대한 https www khan co kr national court law article 202402271555001 총선 러시 검사들 공천 결과는 경선 티켓 받은 이성윤 법무부 해임 징계 조국 전 법무부 장관의 출판기념회에서 윤석열 사단 을 비판했던 이성윤 법무연수원 연구위원에게 해임 징계가 내려진 것으로 전해졌다 이 연구위원은 4월 총선을 앞두고 전북 전 https www khan co kr national court law article 202403031545001 총선 출마 김상민 정직 한동훈 녹취록 오보 신성식 해임 처분 한동훈 법무부 장관의 명예를 훼손한 혐의로 기소된 신성식 법무연수원 연구위원 검사장 이 해임됐다 현직 검사 신분으로 총선 출마 의사를 밝혀 논란된 김상민 대전고검 검사는 정 https www khan co kr national court law article 202402141602011 윤석열 감찰 주도 박은정 검사 해임 보복 징계 반발 윤석열 대통령이 검찰총장일 때 추미애 당시 법무부 장관 휘하에서 윤 총장에 대한 감찰 징계 청구 실무를 주도했던 박은정 광주지검 중요경제범죄조사단 부장검사가 해임 처분을 받았 https www khan co kr national court law article 202403041317011,민주당,중립,민주당,중립,민주당,중립
추미애 내란동조 4성 장군 징계 박안수 방지법 발의,보직해임위 징계위 상급자 부족 시 민간위원 임명하는 군인사법 개정안 발의 더불어민주당 윤석열내란진상조사단장 추미애 의원이 4성 장군에 대한 보직해임 및 징계 심의가 가능하도록 하는 박안수 방지법 군인사법개정안 을 발의했다 추미애 의원실 더불어민주당 윤석열내란진상조사단장 추미애 의원이 4성 장군에 대한 보직해임 및 징계 심의가 가능하도록 하는 박안수 방지법 군인사법개정안 을 발의했다고 27일 밝혔다 현행 군인사법 은 보직해임심의위원회 및 징계위원회 구성 시 3명 이상 7명 이하의 위원을 임명하고 있다 이때 위원은 심의 대상자보다 상급자 선임자로 제한된다 이는 후임자가 위원일 경우 상급자 선임자 심의 대상자 의 위력과 이해관계로 심의 결과에 영향을 미치는 것을 방지하지 위함이다 하지만 12 3 비상계엄사령관인 박안수 육군참모총장의 상급자는 김명수 합참의장이 유일하다 이로 인해 상급자인 위원의 부족으로 보직해임위와 징계위가 구성되지 못해 심의 자체가 불가능한 상황이다 군인사법 개정안은 심의 대상자의 상급자 선임자가 3명 미만일 시 국방부장관이 임명하는 법조인 대학교수 등의 민간위원을 국방부장관이 임명할 수 있도록 했다 해당 개정안이 통과되면 함참의장 각 군 참모총장 등 4성 장군에 대한 보직해임 및 징계 심의가 가능할 것으로 기대된다 추미애 의원은 내란에 동조하고 실행한 책임자에 대한 확실한 보직해임 및 징계가 필요하다 며 윤석열 내란 수괴를 비롯한 내란동조세력의 실상을 신속하게 밝혀 대한민국 정상화를 위해 노력하겠다 고 강조했다,그외,중립,그외,중립,그외,중립
안철수 김재섭에 이어 조경태도 채 상병 특검법 찬성,제 22대 국회의원선거에서 참패한 국민의힘이 12일 국회의사당앞에 국민의 회초리 겸허히 받겠습니다 라고 적힌 현수막을 게시했다 박민규 선임기자 15일 국민의힘 내에서 해병대 채모 상병 특검법을 수용해야 한다는 목소리가 커지고 있다 이종섭 전 국방부 장관이 채 상병 사건 의혹 핵심 피의자 신분임에도 주호주대사로 임명돼 출국했던 것이 이번 4 10 총선 참패 주된 원인 중 하나로 지목된 가운데 당내에서도 이제 민심을 따라야 한다는 주장이 나오고 있다 조경태 부산 사하을 당선인은 15일 MBC 라디오에서 우리 당이 민주당보다 먼저 국민적 의혹을 해소하기 위한 노력을 해야 한다 이런 입장 이라며 채 상병 특검법을 국민의힘이 수용해야 한다는 입장을 밝혔다 조 당선인은 채 상병 사건에 대해서는 이번 총선에 영향을 미쳤다고 보고 있다 며 국민께서 이 부분에 대해서 문제 인식을 하고 있고 그래서 특히 수도권에 아주 근소한 차로 패배했던 부분에 채 상병에 대한 내용도 영향을 미친 것을 아마 우리가 부인할 수 없지 않는가 며 이같이 말했다 김재섭 서울 도봉갑 당선인도 이날 YTN 라디오에서 특검법의 내용에 대해서는 우리 정부 여당이 조금 긍정적으로 그다음에 전향적으로 검토를 해 볼 필요는 있다는 생각 이라고 밝혔다 다만 그는 그러나 지금 민주당이 밀어붙이고 있는 특검법의 내용 가운데서는 제가 좀 납득하기 어려운 부분들 그리고 반드시 조정이 필요한 부분들이 있다 며 특검을 한다 하더라도 우리가 정확하게 특검에 규정된 그리고 특검법의 취지에 맞는 내용에 대해서만 긍정적이고 전향적으로 검토를 해야 할 필요가 있다 고 말했다 한지아 국민의미래 비례대표 당선인도 이날 KBS 라디오에서 국민에 따라야 된다고 생각한다 며 민의에 귀를 기울이고 그것을 따라야 되지 않겠냐는 생각이 들고 젊은 장병이 희생된 건 대단히 안타까운 일 이라고 말했다 앞서 안철수 경기 분당갑 당선인은 지난 12일 MBC 라디오에서 채 상병 특검법에 대해 저 개인적으로는 찬성 이라며 찬성표를 던질 계획 이라고 말했다,민주당,부정,국민의힘,부정,민주당,부정
전국 소나기 비 그치면 무더위 예상,일요일인 오늘 28일 전국 대부분 지역에 소나기가 내리고 무더위가 이어지겠습니다 강수량은 서울 경기내륙 5 40 강원내륙 산지 5 40 대전 세종 충남 충북 5 40 전남동부 전북 5 40 대구 경북 경남 5 40 으로 예상됩니다 비나 소나기가 내리는 지역에서는 일시적으로 기온이 내려가겠으나 비가 그치면 습한 무더위가 이어져 전국 대부분 지역에서 최고체감온도가 35도 내외로 오르겠습니다 오늘 낮 최고기온은 서울 33도 강릉 36도 대전 35도 광주 34도 대구 35도의 분포를 보이겠습니다,그외,중립,그외,중립,그외,중립
대통령실 與 용산 비판 아이템만 발굴하나,황상무 尹주재 국무회의 불참 이종섭 공수처에 조사기일 지정을 여당이 용산을 비판하는 아이템만 발굴하는 것 같다 대통령실 관계자는 19일 국민의힘 한동훈 비상대책위원장이 이종섭 주호주 대사 조속 귀국과 언론인 회칼 테러 발언 논란을 일으킨 황상무 시민사회수석비서관의 사퇴를 요구한 데 대해 윤석열 대통령을 깎아내려 한 위원장 본인이 올라갈지는 몰라도 대통령 지지율이 빠지면 총선은 결국 어려워지게 마련 이라며 이같이 말했다 여당 총선 전략이 대통령실 문제를 확대시키고 대통령 정책을 뒷받침하지 못한다는 인식을 드러낸 것이다 대통령실 관계자는 여당에서 그동안 윤 대통령의 의대 정원 확대와 의료개혁 정책에 대해 적극적으로 논의를 확산시키며 정책을 뒷받침하는 노력을 한 적이 있었느냐 라며 민생토론회를 통한 민생 정책 발굴도 당정이 더 시너지를 낼 수 있었을 것 이라고 말했다 황 수석은 이날 출근했지만 오전 대통령 주재 국무회의에는 불참했다 대통령실 관계자는 대통령 메시지보다 본인에게 시선이 과도하게 쏠릴 수 있음을 의식한 것 같다 고 했다 윤 대통령은 황 수석의 언론인 회칼 테러 발언 맥락 전반을 살펴본 뒤 황 수석 사퇴 기류에 제동을 건 것으로 알려졌다 여당에서 조기 귀국 요구가 제기된 이 대사는 이날 고위공직자범죄수사처에 가장 신속한 일자에 조사기일을 지정해 달라 는 내용의 조사기일 지정촉구서를 접수시켰다 조사 일정이 확정되면 곧바로 귀국해 결백을 입증한 뒤 대사 직을 계속 수행하겠다는 뜻이다,국민의힘,부정,국민의힘,부정,국민의힘,부정
고삐 풀린 윤석열 영화 부정선거 대놓고 관람 김문수 초대형 악재,난감한 국힘 탈당한 자연인일 뿐 윤석열 풀어준 지귀연 비판 재점화 윤석열 당시 대통령이 지난해 8월 30일 김문수 고용노동부 장관에게 임명장을 수여하는 모습 연합뉴스 불구속 상태에서 내란 우두머리 혐의 등으로 재판을 받는 윤석열 전 대통령이 급기야 부정선거를 주장하는 영화를 보러 극장에 나타났다 내란 사태에 숨죽이던 샤이 보수 가 결집하며 김문수 국민의힘 대통령 후보의 지지율 상승세가 보이는 상황이어서 대선을 13일 남겨둔 김 후보 입장에선 초대형 악재가 터진 셈이다 탈당으로 고삐 가 풀린 윤 전 대통령이 오히려 국민의힘 발목을 잡기 시작한 것이다 윤석열 노골적인 내란 정당화 행보 윤 전 대통령은 21일 오전 부정선거를 주장하는 영상물 부정선거 신의 작품인가 가 상영되는 서울 동대문 메가박스에 경호원을 대동하고 나타났다 그는 극우 유튜버 전한길씨 이 영상물을 감독한 이영돈 피디와 함께 관람했다 윤 전 대통령은 공명선거에 도움이 된다면 흔쾌히 참석하겠다 며 전씨 초청에 응했다고 한다 윤석열 전 대통령 오른쪽 두번째 이 서울 동대문구 한 영화관에서 부정선거를 다룬 영화를 관람하고 있다 오른쪽은 전한길 강사 왼쪽은 이영돈 전 피디 이승욱 기자 seugwookl hani co kr 부정선거 주장은 윤 전 대통령이 비상계엄을 선포한 직접적 동기 중 하나다 내란 사건 재판장인 지귀연 부장판사의 구속 취소로 풀려난 윤 전 대통령이 자신의 범죄를 정당화하는 행보를 노골화하고 있는 것이다 윤 전 대통령은 이틀 전인 19일 내란 사건 4차 공판에 출석했다 비상계엄에 대해 사과할 생각이 있느냐 는 취재진 질문에 아무런 답을 하지 않았다 국힘 윤석열과 선 그어보지만 국민의힘은 난감한 표정이다 신동욱 국민의힘 수석대변인은 윤 전 대통령의 영화 관람에 대해 윤 전 대통령은 이미 저희 당을 탈당한 자연인이다 윤 전 대통령의 일정에 대해 저희가 코멘트할 것은 없다 고 했다 윤 전 대통령이 탈당해도 선거에 도움이 안 될 것이라는 지적이 있다 고 묻자 그런 평가도 하지 않는다 저희의 일을 열심히 하면 될 것 이라고 했다 그러나 당장 김문수 후보를 향해 윤 전 대통령의 부정선거 옹호 행보에 대한 입장을 묻는 질문이 쏟아질 것으로 보인다 김 후보 역시 부정선거 주장 언저리를 여전히 맴돌고 있다 사전투표제를 폐지하겠다는 공약도 냈다 윤석열 전 대통령이 21일 서울 메가박스 동대문에서 이영돈 피디가 제작한 부정선거 신의 작품인가 를 관람하기 위해 상영관으로 향하고 있다 연합뉴스 윤 전 대통령이 공개적으로 부정선거 옹호 행보를 하기 시작하면서 형사소송법 제정 71년 만에 윤 전 대통령만 구속기간 계산법을 바꿔 풀어준 지귀연 원죄론 이 다시 거세질 것으로 보인다 더불어민주당은 지귀연 부장판사의 유흥주점 접대 의혹을 제기하며 자진 사퇴를 요구하고 있다 형사사건 전문 변호사는 구속 취소 상태에서 자신의 범죄 동기를 정당화하는 행보를 하더라도 현재로써는 지귀연 재판부가 윤 전 대통령을 재구속할 방법이 없다 수사기관이 다른 사건 혐의로 윤석열을 구속하는 방법을 찾아야 한다 고 했다,국민의힘,부정,그외,부정,그외,부정
